Date,Yellow,Red,Orange,Blue,Green,Brown,Total
2024-01-01,17455,838278,433929,919020,420269,252926,2881877
2024-01-02,29970,1089600,746004,1208818,669695,475993,4220080
2024-01-03,31460,1058323,765604,1224070,684781,486280,4250518
2024-01-04,31052,1096659,769202,1248131,695460,497572,4338076
2024-01-05,32594,1194501,807103,1363707,750727,520248,4668880
2024-01-06,22738,986528,585769,1137623,575744,344456,3652858
2024-01-07,18129,797089,461797,897028,462036,264270,2900349
2024-01-08,30340,1053774,742152,1202968,662812,467756,4159802
2024-01-09,31689,1069967,763337,1226975,685389,482650,4260007
2024-01-10,32262,1085655,771677,1254219,698150,486175,4328138
2024-01-11,32100,1160016,784600,1299330,722954,498263,4497263
2024-01-12,34671,1316970,824427,1496992,779259,524662,4976981
2024-01-13,20673,912588,556681,1053604,503264,311314,3358124
2024-01-14,18032,840862,477596,947679,454497,283926,3022592
2024-01-15,29787,1016488,726622,1194159,649016,458201,4074273
2024-01-16,30612,1063332,757382,1229820,682109,481276,4244531
2024-01-17,31426,1075898,758587,1236376,687472,490365,4280124
2024-01-18,31502,1093183,768449,1253511,699764,486674,4333083
2024-01-19,33882,1222755,831002,1442039,777995,525225,4832898
2024-01-20,23412,1017404,611060,1192374,594920,344339,3783509
2024-01-21,18663,799099,476163,948411,458959,269828,2971123
2024-01-22,30322,1010115,727683,1219592,669413,459822,4116947
2024-01-23,31373,1007892,748398,1207211,669817,474276,4138967
2024-01-24,31035,1046642,754946,1245210,687533,481684,4247050
2024-01-25,32222,1065661,773587,1307377,705897,499003,4383747
2024-01-26,33638,1172535,809879,1430684,758164,518829,4723729
2024-01-27,23220,936908,595152,1212722,581798,339347,3689147
2024-01-28,19191,829684,495753,1021165,490651,284990,3141434
2024-01-29,30428,1051847,736562,1233083,681072,455549,4188541
2024-01-30,30828,1084323,758624,1259401,707285,479532,4319993
2024-01-31,31491,1105538,768817,1289766,718107,489206,4402925
2024-02-01,30904,1151648,763793,1289178,724587,480516,4440626
2024-02-02,32135,1192842,787207,1389755,751452,493873,4647264
2024-02-03,21474,1002371,588663,1140706,583620,327880,3664714
2024-02-04,17581,866597,484089,990678,482244,277720,3118909
2024-02-05,30398,1070869,739755,1269310,696015,457609,4263956
2024-02-06,30534,1072903,750834,1290247,705374,463016,4312908
2024-02-07,29422,1016446,709512,1287696,667928,439658,4150662
2024-02-08,14071,618769,385187,773355,361156,205982,2358520
2024-02-09,10565,403535,256000,463614,216015,136162,1485891
2024-02-10,16156,726162,399452,849976,342291,218333,2552370
2024-02-11,17275,839814,412936,863324,375994,252823,2762166
2024-02-12,19194,930384,435245,935011,425518,271339,3016691
2024-02-13,19686,936447,465685,971020,445949,287901,3126688
2024-02-14,18398,887449,470635,958496,451136,280932,3067046
2024-02-15,27895,1015043,687455,1178386,630579,430076,3969434
2024-02-16,29276,1048105,736407,1226671,669071,459322,4168852
2024-02-17,27175,1075239,722813,1280851,686340,441807,4234225
2024-02-18,18542,880563,500110,981657,490247,288447,3159566
2024-02-19,30659,1067148,748174,1206070,681185,474378,4207614
2024-02-20,31567,1114912,771287,1239030,705958,492582,4355336
2024-02-21,31650,1123678,778248,1258738,712901,494453,4399668
2024-02-22,31536,1140732,778755,1272965,719425,496874,4440287
2024-02-23,33305,1288284,825340,1421610,779758,522813,4871110
2024-02-24,24004,1134885,640755,1266652,657579,348103,4071978
2024-02-25,18912,986002,518902,1038676,529625,282690,3374807
2024-02-26,31080,1070352,767217,1213914,684738,475805,4243106
2024-02-27,33586,1145338,819104,1313315,745751,513448,4570542
2024-02-28,20683,976548,551085,1028421,548890,318384,3444011
2024-02-29,32504,1157288,804227,1270893,724188,504762,4493862
2024-03-01,33715,1178209,829860,1360386,761010,525780,4688960
2024-03-02,21950,922776,566974,1158005,564818,308429,3542952
2024-03-03,18976,866111,496451,991570,488987,269341,3131436
2024-03-04,31218,1107327,774360,1216673,687109,483778,4300465
2024-03-05,32317,1141406,799985,1257365,719012,506647,4456732
2024-03-06,32603,1093794,803728,1283291,718641,513291,4445348
2024-03-07,32424,1099346,803087,1283834,717029,508038,4443758
2024-03-08,34641,1259659,840278,1435094,781134,540488,4891294
2024-03-09,23101,1029299,604988,1201058,614657,345671,3818774
2024-03-10,18440,906969,493027,983564,507435,277280,3186715
2024-03-11,31708,1069079,779438,1223994,692069,486882,4283170
2024-03-12,32547,1153244,806855,1258634,731631,506416,4489327
