line,station,date,people
Yellow,大坪林,2024-01-01,6858
Yellow,頭前庄,2024-01-01,1266
Yellow,十四張,2024-01-01,1257
Yellow,秀朗橋,2024-01-01,901
Yellow,景平,2024-01-01,1158
Yellow,中和,2024-01-01,1608
Yellow,橋和,2024-01-01,465
Yellow,中原,2024-01-01,587
Yellow,板新,2024-01-01,627
Yellow,新埔民生,2024-01-01,384
Yellow,幸福,2024-01-01,1264
Yellow,新北產業園區,2024-01-01,1080
Yellow,大坪林,2024-01-02,10954
Yellow,頭前庄,2024-01-02,2207
Yellow,十四張,2024-01-02,2136
Yellow,秀朗橋,2024-01-02,1279
Yellow,景平,2024-01-02,1920
Yellow,中和,2024-01-02,2191
Yellow,橋和,2024-01-02,1338
Yellow,中原,2024-01-02,1921
Yellow,板新,2024-01-02,1303
Yellow,新埔民生,2024-01-02,605
Yellow,幸福,2024-01-02,2244
Yellow,新北產業園區,2024-01-02,1872
Yellow,大坪林,2024-01-03,11288
Yellow,頭前庄,2024-01-03,2213
Yellow,十四張,2024-01-03,2271
Yellow,秀朗橋,2024-01-03,1354
Yellow,景平,2024-01-03,1998
Yellow,中和,2024-01-03,2450
Yellow,橋和,2024-01-03,1386
Yellow,中原,2024-01-03,1998
Yellow,板新,2024-01-03,1456
Yellow,新埔民生,2024-01-03,599
Yellow,幸福,2024-01-03,2456
Yellow,新北產業園區,2024-01-03,1991
Yellow,大坪林,2024-01-04,11304
Yellow,頭前庄,2024-01-04,2342
Yellow,十四張,2024-01-04,2213
Yellow,秀朗橋,2024-01-04,1297
Yellow,景平,2024-01-04,1950
Yellow,中和,2024-01-04,2294
Yellow,橋和,2024-01-04,1275
Yellow,中原,2024-01-04,2019
Yellow,板新,2024-01-04,1398
Yellow,新埔民生,2024-01-04,647
Yellow,幸福,2024-01-04,2376
Yellow,新北產業園區,2024-01-04,1937
Yellow,大坪林,2024-01-05,11896
Yellow,頭前庄,2024-01-05,2428
Yellow,十四張,2024-01-05,2156
Yellow,秀朗橋,2024-01-05,1387
Yellow,景平,2024-01-05,2082
Yellow,中和,2024-01-05,2516
Yellow,橋和,2024-01-05,1393
Yellow,中原,2024-01-05,2056
Yellow,板新,2024-01-05,1394
Yellow,新埔民生,2024-01-05,670
Yellow,幸福,2024-01-05,2443
Yellow,新北產業園區,2024-01-05,2173
Yellow,大坪林,2024-01-06,8407
Yellow,頭前庄,2024-01-06,1835
