line,station,date,people
Green,小碧潭,2024-01-01,5431
Green,新店,2024-01-01,19683
Green,新店區公所,2024-01-01,14565
Green,七張,2024-01-01,19825
Green,大坪林,2024-01-01,18564
Green,景美,2024-01-01,20392
Green,萬隆,2024-01-01,13358
Green,公館,2024-01-01,32791
Green,台電大樓,2024-01-01,17811
Green,古亭,2024-01-01,16246
Green,中正紀念堂,2024-01-01,13688
Green,小南門,2024-01-01,7015
Green,中山,2024-01-01,34718
Green,西門,2024-01-01,53889
Green,北門,2024-01-01,23417
Green,松江南京,2024-01-01,15122
Green,台北小巨蛋,2024-01-01,17733
Green,南京三民,2024-01-01,21368
Green,松山,2024-01-01,36107
Green,南京復興,2024-01-01,18546
Green,小碧潭,2024-01-02,5992
Green,新店,2024-01-02,23616
Green,新店區公所,2024-01-02,25110
Green,七張,2024-01-02,30892
Green,大坪林,2024-01-02,31068
Green,景美,2024-01-02,32584
Green,萬隆,2024-01-02,19302
Green,公館,2024-01-02,45551
Green,台電大樓,2024-01-02,30429
Green,古亭,2024-01-02,29882
Green,中正紀念堂,2024-01-02,24342
Green,小南門,2024-01-02,22183
Green,中山,2024-01-02,38099
Green,西門,2024-01-02,51611
Green,北門,2024-01-02,30573
Green,松江南京,2024-01-02,37291
Green,台北小巨蛋,2024-01-02,42749
Green,南京三民,2024-01-02,50114
Green,松山,2024-01-02,55158
Green,南京復興,2024-01-02,43149
Green,小碧潭,2024-01-03,6067
Green,新店,2024-01-03,21685
Green,新店區公所,2024-01-03,25218
Green,七張,2024-01-03,31543
Green,大坪林,2024-01-03,31761
Green,景美,2024-01-03,32520
Green,萬隆,2024-01-03,19373
Green,公館,2024-01-03,45919
Green,台電大樓,2024-01-03,31897
Green,古亭,2024-01-03,31492
Green,中正紀念堂,2024-01-03,24201
Green,小南門,2024-01-03,22371
Green,中山,2024-01-03,39757
Green,西門,2024-01-03,52634
Green,北門,2024-01-03,31060
Green,松江南京,2024-01-03,38478
Green,台北小巨蛋,2024-01-03,46409
Green,南京三民,2024-01-03,52354
Green,松山,2024-01-03,54334
Green,南京復興,2024-01-03,45708
Green,小碧潭,2024-01-04,6265
Green,新店,2024-01-04,23320
Green,新店區公所,2024-01-04,25407
Green,七張,2024-01-04,31375
Green,大坪林,2024-01-04,32176
Green,景美,2024-01-04,33057
