Date,Yellow,Red,Orange,Blue,Green,Brown,Total
2017-04-01,9932,1043878,589742,1134309,529254,335079,3642194
2017-04-02,9056,1094797,543442,1061117,495060,337909,3541381
2017-04-03,8980,1063092,521678,1017586,474592,334034,3419962
2017-04-04,8022,854132,466576,883908,414667,290154,2917459
2017-04-05,14388,1062626,733408,1204228,629528,472982,4117160
2017-04-06,15028,1067486,769458,1249420,656598,502030,4260020
2017-04-07,15658,1174268,828574,1395180,722402,534069,4670151
2017-04-08,11218,1125318,665091,1264113,621240,397102,4084082
2017-04-09,10076,1030130,559327,1098958,502870,337730,3539091
2017-04-10,14325,1076422,755368,1202536,642138,471688,4162477
2017-04-11,15022,1076246,788655,1239188,672364,495723,4287198
2017-04-12,15282,1097964,789770,1268210,684033,503428,4358687
2017-04-13,15058,1120058,779530,1263030,677195,503184,4358055
2017-04-14,16010,1233358,818546,1389095,733820,528042,4718871
2017-04-15,11388,1153514,667647,1265450,629803,391649,4119451
2017-04-16,10062,999956,557058,1063684,513904,312174,3456838
2017-04-17,14357,1056968,739724,1188728,632810,462392,4094979
2017-04-18,14591,1062946,756810,1204661,649302,481751,4170061
2017-04-19,15241,1087271,771224,1244078,662780,494762,4275356
2017-04-20,14875,1099329,768402,1249188,665436,492538,4289768
2017-04-21,16006,1217602,818178,1414192,726003,534674,4726655
2017-04-22,11668,1057969,666532,1300159,622652,374416,4033396
2017-04-23,9208,1020752,556772,1089168,511989,317465,3505354
2017-04-24,14260,1038944,749876,1186437,640542,469216,4099275
2017-04-25,14756,1072649,760548,1197801,655440,487720,4188914
2017-04-26,14784,1075426,769396,1218572,663254,487076,4228508
2017-04-27,15000,1073695,790846,1248350,680478,502436,4310805
2017-04-28,15810,1229751,817948,1390956,726644,537946,4719055
2017-04-29,10956,1124020,653967,1253456,621082,392472,4055953
2017-04-30,9398,1038307,556522,1109804,543456,336248,3593735
2017-05-01,10664,1007979,593978,1043047,519356,354500,3529524
2017-05-02,14192,1079280,755174,1180910,651276,474928,4155760
2017-05-03,14622,1107659,770224,1226331,674050,488904,4281790
2017-05-04,14590,1114822,768744,1232467,678826,491954,4301403
2017-05-05,15426,1244576,815204,1370465,733759,521392,4700822
2017-05-06,11486,1101255,652032,1224390,606353,372572,3968088
2017-05-07,10648,1001395,561644,1071707,523156,323808,3492358
2017-05-08,14592,1065752,741542,1182708,636020,467804,4108418
2017-05-09,14308,1053231,760860,1196268,660182,489412,4174261
2017-05-10,14650,1072977,765714,1218147,667897,490784,4230169
2017-05-11,14699,1079130,767418,1226614,667066,488187,4243114
2017-05-12,15809,1201032,811680,1395949,723998,524510,4672978
2017-05-13,12336,1020694,642568,1227144,570716,356376,3829834
2017-05-14,8734,899147,517004,1008987,469548,291212,3194632
2017-05-15,13770,1025462,741780,1181792,635120,471431,4069355
2017-05-16,14842,1031496,773594,1203782,665513,488342,4177569
2017-05-17,14724,1082576,761190,1216603,662087,484269,4221449
2017-05-18,14834,1094666,757689,1216739,664221,485669,4233818
2017-05-19,15754,1259716,837351,1414188,744516,536268,4807793
2017-05-20,12276,1173382,677274,1279300,636380,402406,4181018
2017-05-21,10184,1038142,574996,1098405,528056,335228,3585011
2017-05-22,14256,1076480,741592,1181290,634418,462089,4110125
2017-05-23,14573,1057986,750232,1192036,650066,477947,4142840
2017-05-24,14679,1049522,764148,1213334,660960,485250,4187893
2017-05-25,14723,1069206,766529,1225815,667552,490518,4234343
2017-05-26,15655,1182507,803086,1354057,701972,505722,4562999
2017-05-27,10509,957460,574202,1131126,531914,322484,3527695
2017-05-28,10102,991339,536106,1054584,504333,307886,3404350
2017-05-29,9050,985669,516710,1026048,468416,305274,3311167
2017-05-30,7271,764824,430656,874795,380152,256834,2714532
2017-05-31,14608,1086995,748210,1214809,645826,481506,4191954
2017-06-01,14816,1072506,752109,1223640,654682,496282,4214035
2017-06-02,14572,1015706,742552,1221696,643372,490072,4127970
2017-06-03,12670,949992,691770,1220429,611948,433716,3920525
2017-06-04,9238,777104,486989,972956,484292,286512,3017091
2017-06-05,13779,1030887,742484,1180994,643128,463299,4074571
2017-06-06,14572,1055135,747437,1201812,654734,477175,4150865
2017-06-07,14702,1069749,757976,1214144,658256,481152,4195979
2017-06-08,14455,1066126,752318,1219026,659196,478898,4190019
