Date,Yellow,Red,Orange,Blue,Green,Brown,Total
2023-01-01,54993,819110,450683,945133,430315,247684,2947918
2023-01-02,49922,654170,398685,810916,373760,221560,2509013
2023-01-03,89226,972487,720400,1138838,620266,448242,3989459
2023-01-04,90116,982234,731484,1151674,631958,459242,4046708
2023-01-05,90568,992244,736365,1165276,638031,467180,4089664
2023-01-06,94070,1047948,761631,1247904,680814,477282,4309649
2023-01-07,81402,987118,698026,1201996,633654,424952,4027148
2023-01-08,55864,772504,472446,885214,444676,264164,2894868
2023-01-09,87627,970447,710890,1138648,613382,442642,3963636
2023-01-10,89182,977952,728446,1162097,631780,455094,4044551
2023-01-11,91200,989757,735778,1185364,641108,463630,4106837
2023-01-12,89144,1014616,735784,1193908,646007,475718,4155177
2023-01-13,93752,1082883,763373,1297804,686303,483726,4407841
2023-01-14,65226,889930,583264,1109660,540588,337424,3526092
2023-01-15,52969,701736,461486,903916,433761,252226,2806094
2023-01-16,90960,959987,721534,1184831,640748,448296,4046356
2023-01-17,90582,992737,737572,1207130,649744,463794,4141559
2023-01-18,92495,998169,744210,1229752,655336,464838,4184800
2023-01-19,93064,1022062,736921,1280019,658330,456854,4247250
2023-01-20,44506,591794,379832,738120,327778,200287,2282317
2023-01-21,33258,355634,237804,420685,186168,121938,1355487
2023-01-22,41659,722358,381263,718460,305428,200586,2369754
2023-01-23,45084,635948,342427,676233,284696,185476,2169864
2023-01-24,42449,596254,324338,718165,294670,177125,2153001
2023-01-25,48432,746076,388038,821696,350946,217586,2572774
2023-01-26,52886,894888,457060,912333,408200,276239,3001606
2023-01-27,50978,769961,450208,978586,391775,257720,2899228
2023-01-28,53352,781358,471766,985888,433813,262224,2988401
2023-01-29,50912,736776,445970,879867,409528,252110,2775163
2023-01-30,84267,954316,680010,1164484,591288,417209,3891574
2023-01-31,85678,1015284,702513,1181970,615942,446260,4047647
2023-02-01,85916,1011562,706151,1170516,624416,442419,4040980
2023-02-02,86008,969609,698877,1185338,610650,439963,3990445
2023-02-03,89255,1051056,732788,1287660,650798,461960,4273517
2023-02-04,79038,1086174,697458,1359793,628342,419488,4270293
2023-02-05,55387,775526,462773,1056939,421914,263922,3036461
2023-02-06,88446,953649,708348,1215789,620858,427944,4015034
2023-02-07,88571,1005808,721802,1252293,637216,449388,4155078
2023-02-08,90516,1029476,732314,1281636,652704,456876,4243522
2023-02-09,89980,1054010,737004,1295245,648308,463224,4287771
2023-02-10,106822,1108286,754087,1382858,690544,471504,4514101
2023-02-11,89647,1079223,642948,1469448,558999,372273,4212538
2023-02-12,80390,905974,496164,1081512,445664,285608,3295312
2023-02-13,104188,1019776,719302,1185126,626052,455304,4109748
2023-02-14,98446,1023687,740852,1220934,650828,474236,4208983
2023-02-15,100164,1029034,742824,1225086,649827,471181,4218116
2023-02-16,103230,1057148,749741,1276176,657748,480290,4324333
2023-02-17,108598,1151022,781934,1390774,700212,503756,4636296
2023-02-18,101274,1123203,743232,1468604,677725,457780,4571818
2023-02-19,68196,842736,494885,1096816,472040,282682,3257355
2023-02-20,97699,991155,742412,1145424,634956,452759,4064405
2023-02-21,99773,1004044,768482,1178966,661004,474882,4187151
2023-02-22,101739,1027452,772373,1191004,670872,478512,4241952
2023-02-23,102720,1039121,770583,1200160,667444,476254,4256282
2023-02-24,106506,1137772,796302,1327489,704418,496168,4568655
2023-02-25,74524,917599,550233,1088987,511120,290222,3432685
2023-02-26,75374,895824,495490,988497,458186,273006,3186377
2023-02-27,86834,1030542,531106,1028580,493616,318124,3488802
2023-02-28,74904,864700,472504,881417,432703,273632,2999860
2023-03-01,99773,1027153,751352,1152614,646312,461330,4138534
2023-03-02,100890,1018724,754402,1154051,653972,463678,4145717
2023-03-03,105715,1127944,793102,1279635,708302,494660,4509358
2023-03-04,75284,954885,574566,1072910,552842,321018,3551505
2023-03-05,70615,852667,477908,896786,461247,272571,3031794
2023-03-06,101747,1022042,744810,1161152,634438,459064,4123253
2023-03-07,104200,1050637,768400,1187808,655824,476636,4243505
2023-03-08,105034,1064411,770736,1214148,669132,483118,4306579
2023-03-09,103566,1064125,769066,1212068,663331,479151,4291307
2023-03-10,109530,1169171,807400,1355165,715163,505794,4662223
2023-03-11,83900,1034506,601796,1150059,575830,333978,3780069
2023-03-12,66628,844969,475680,920000,466718,262434,3036429
2023-03-13,96962,991720,735978,1137162,632524,451690,4046036
2023-03-14,97736,1044702,764346,1172000,657516,474682,4210982
2023-03-15,99639,1068022,771549,1199183,666419,479356,4284168
2023-03-16,98884,1062958,766007,1188813,662962,474398,4254022
2023-03-17,103537,1157422,796468,1310166,710291,498873,4576757
2023-03-18,73204,981917,589166,1088076,535690,324914,3592967
2023-03-19,62290,839114,470134,899567,434624,262215,2967944
2023-03-20,95790,1011020,733122,1132060,623990,448561,4044543
2023-03-21,96842,1040023,758534,1170381,650156,472892,4188828
2023-03-22,96057,1046666,760963,1200842,657350,480773,4242651
2023-03-23,97118,1052422,761486,1207932,657547,481156,4257661
