line,station,date,people
Green,小碧潭,2018-01-01,3394.0
Green,新店,2018-01-01,23767.0
Green,新店區公所,2018-01-01,16761.0
Green,七張,2018-01-01,23036.0
Green,大坪林,2018-01-01,18179.0
Green,景美,2018-01-01,24464.0
Green,萬隆,2018-01-01,14837.0
Green,公館,2018-01-01,48827.0
Green,台電大樓,2018-01-01,28070.0
Green,古亭,2018-01-01,18214.0
Green,中正紀念堂,2018-01-01,17006.0
Green,小南門,2018-01-01,7754.0
Green,中山,2018-01-01,28072.5
Green,西門,2018-01-01,62308.5
Green,北門,2018-01-01,19719.0
Green,松江南京,2018-01-01,16761.0
Green,台北小巨蛋,2018-01-01,20751.0
Green,南京三民,2018-01-01,27500.0
Green,松山,2018-01-01,37923.0
Green,南京復興,2018-01-01,17703.5
Green,小碧潭,2018-01-02,4628.0
Green,新店,2018-01-02,22231.0
Green,新店區公所,2018-01-02,22499.0
Green,七張,2018-01-02,32960.0
Green,大坪林,2018-01-02,30265.0
Green,景美,2018-01-02,33621.0
Green,萬隆,2018-01-02,18731.0
Green,公館,2018-01-02,56593.0
Green,台電大樓,2018-01-02,36037.0
Green,古亭,2018-01-02,30817.0
Green,中正紀念堂,2018-01-02,25133.5
Green,小南門,2018-01-02,21420.0
Green,中山,2018-01-02,32229.5
Green,西門,2018-01-02,56132.0
Green,北門,2018-01-02,23133.0
Green,松江南京,2018-01-02,35078.0
Green,台北小巨蛋,2018-01-02,49413.0
Green,南京三民,2018-01-02,48507.0
Green,松山,2018-01-02,50874.0
Green,南京復興,2018-01-02,37865.0
Green,小碧潭,2018-01-03,4692.0
Green,新店,2018-01-03,24139.0
Green,新店區公所,2018-01-03,22948.0
Green,七張,2018-01-03,33653.0
Green,大坪林,2018-01-03,30907.0
Green,景美,2018-01-03,34340.0
Green,萬隆,2018-01-03,18997.0
Green,公館,2018-01-03,54902.0
Green,台電大樓,2018-01-03,36650.0
Green,古亭,2018-01-03,31997.0
Green,中正紀念堂,2018-01-03,25945.0
Green,小南門,2018-01-03,22051.0
Green,中山,2018-01-03,33549.5
Green,西門,2018-01-03,56117.5
Green,北門,2018-01-03,22880.0
Green,松江南京,2018-01-03,36602.0
Green,台北小巨蛋,2018-01-03,50962.0
Green,南京三民,2018-01-03,48878.0
Green,松山,2018-01-03,51024.0
Green,南京復興,2018-01-03,39079.0
Green,小碧潭,2018-01-04,4883.0
Green,新店,2018-01-04,24171.0
Green,新店區公所,2018-01-04,22953.0
Green,七張,2018-01-04,33478.0
Green,大坪林,2018-01-04,31902.5
Green,景美,2018-01-04,33854.0
Green,萬隆,2018-01-04,19273.0
Green,公館,2018-01-04,55349.0
Green,台電大樓,2018-01-04,36595.0
Green,古亭,2018-01-04,32370.5
Green,中正紀念堂,2018-01-04,26084.0
Green,小南門,2018-01-04,21974.0
Green,中山,2018-01-04,33830.0
Green,西門,2018-01-04,54837.5
Green,北門,2018-01-04,22473.0
Green,松江南京,2018-01-04,37496.0
Green,台北小巨蛋,2018-01-04,51878.0
Green,南京三民,2018-01-04,49378.0
Green,松山,2018-01-04,50618.0
Green,南京復興,2018-01-04,39779.5
Green,小碧潭,2018-01-05,5233.0
Green,新店,2018-01-05,24633.0
Green,新店區公所,2018-01-05,24338.0
Green,七張,2018-01-05,36517.0
Green,大坪林,2018-01-05,34618.5
Green,景美,2018-01-05,36823.0
Green,萬隆,2018-01-05,21194.0
Green,公館,2018-01-05,62096.0
Green,台電大樓,2018-01-05,42068.0
Green,古亭,2018-01-05,35217.0
Green,中正紀念堂,2018-01-05,27434.0
Green,小南門,2018-01-05,22936.0
Green,中山,2018-01-05,38853.5
Green,西門,2018-01-05,64473.0
Green,北門,2018-01-05,25276.0
Green,松江南京,2018-01-05,41467.0
Green,台北小巨蛋,2018-01-05,55574.0
Green,南京三民,2018-01-05,52868.0
Green,松山,2018-01-05,55197.0
Green,南京復興,2018-01-05,42783.5
Green,小碧潭,2018-01-06,4358.0
Green,新店,2018-01-06,20226.0
Green,新店區公所,2018-01-06,18703.0
Green,七張,2018-01-06,27833.0
Green,大坪林,2018-01-06,24440.5
Green,景美,2018-01-06,32216.0
Green,萬隆,2018-01-06,17920.0
Green,公館,2018-01-06,60622.0
Green,台電大樓,2018-01-06,37120.0
Green,古亭,2018-01-06,28577.0
Green,中正紀念堂,2018-01-06,20453.0
Green,小南門,2018-01-06,11489.0
Green,中山,2018-01-06,37703.0
Green,西門,2018-01-06,66172.5
Green,北門,2018-01-06,19967.0
Green,松江南京,2018-01-06,23060.0
Green,台北小巨蛋,2018-01-06,42296.0
Green,南京三民,2018-01-06,33804.0
Green,松山,2018-01-06,36127.0
Green,南京復興,2018-01-06,26232.5
Green,小碧潭,2018-01-07,3917.0
Green,新店,2018-01-07,15734.0
Green,新店區公所,2018-01-07,15092.0
Green,七張,2018-01-07,21619.0
Green,大坪林,2018-01-07,18712.0
Green,景美,2018-01-07,23500.0
Green,萬隆,2018-01-07,14856.0
Green,公館,2018-01-07,43328.0
Green,台電大樓,2018-01-07,28812.0
Green,古亭,2018-01-07,20588.0
Green,中正紀念堂,2018-01-07,16339.5
Green,小南門,2018-01-07,8164.0
Green,中山,2018-01-07,29686.5
Green,西門,2018-01-07,51281.5
Green,北門,2018-01-07,15757.0
Green,松江南京,2018-01-07,16797.0
Green,台北小巨蛋,2018-01-07,24063.0
Green,南京三民,2018-01-07,26255.0
Green,松山,2018-01-07,28156.0
Green,南京復興,2018-01-07,17724.5
Green,小碧潭,2018-01-08,4876.0
Green,新店,2018-01-08,22250.0
Green,新店區公所,2018-01-08,23022.0
Green,七張,2018-01-08,33922.0
Green,大坪林,2018-01-08,31657.0
Green,景美,2018-01-08,33816.0
Green,萬隆,2018-01-08,19570.0
Green,公館,2018-01-08,52235.0
Green,台電大樓,2018-01-08,35698.0
Green,古亭,2018-01-08,32550.0
Green,中正紀念堂,2018-01-08,23447.5
Green,小南門,2018-01-08,22683.0
Green,中山,2018-01-08,32311.0
Green,西門,2018-01-08,52588.0
Green,北門,2018-01-08,22331.0
Green,松江南京,2018-01-08,37547.5
Green,台北小巨蛋,2018-01-08,50764.0
Green,南京三民,2018-01-08,49926.0
Green,松山,2018-01-08,47905.0
Green,南京復興,2018-01-08,40931.5
Green,小碧潭,2018-01-09,4934.0
Green,新店,2018-01-09,22662.0
Green,新店區公所,2018-01-09,22978.0
Green,七張,2018-01-09,34162.0
Green,大坪林,2018-01-09,32388.0
Green,景美,2018-01-09,35152.0
Green,萬隆,2018-01-09,20165.0
Green,公館,2018-01-09,53704.0
Green,台電大樓,2018-01-09,37908.0
Green,古亭,2018-01-09,33502.0
Green,中正紀念堂,2018-01-09,25327.0
Green,小南門,2018-01-09,23831.0
Green,中山,2018-01-09,33985.5
Green,西門,2018-01-09,56168.0
Green,北門,2018-01-09,22468.0
Green,松江南京,2018-01-09,38087.0
Green,台北小巨蛋,2018-01-09,51458.0
Green,南京三民,2018-01-09,50752.0
Green,松山,2018-01-09,48724.0
Green,南京復興,2018-01-09,41766.5
Green,小碧潭,2018-01-10,4634.0
Green,新店,2018-01-10,23448.0
Green,新店區公所,2018-01-10,23426.0
Green,七張,2018-01-10,34531.0
Green,大坪林,2018-01-10,31841.0
Green,景美,2018-01-10,35232.0
Green,萬隆,2018-01-10,19290.0
Green,公館,2018-01-10,55319.0
Green,台電大樓,2018-01-10,38067.0
Green,古亭,2018-01-10,32781.0
Green,中正紀念堂,2018-01-10,25641.5
Green,小南門,2018-01-10,22891.0
Green,中山,2018-01-10,33993.0
Green,西門,2018-01-10,57444.5
Green,北門,2018-01-10,22358.0
Green,松江南京,2018-01-10,37843.0
Green,台北小巨蛋,2018-01-10,51162.0
Green,南京三民,2018-01-10,49966.0
Green,松山,2018-01-10,51287.0
Green,南京復興,2018-01-10,40093.0
Green,小碧潭,2018-01-11,4810.0
Green,新店,2018-01-11,22858.0
Green,新店區公所,2018-01-11,22973.0
Green,七張,2018-01-11,33895.0
Green,大坪林,2018-01-11,32168.0
Green,景美,2018-01-11,35086.0
Green,萬隆,2018-01-11,19750.0
Green,公館,2018-01-11,56424.0
Green,台電大樓,2018-01-11,38421.0
Green,古亭,2018-01-11,33053.0
Green,中正紀念堂,2018-01-11,25056.0
Green,小南門,2018-01-11,22464.0
Green,中山,2018-01-11,34151.5
Green,西門,2018-01-11,57004.0
Green,北門,2018-01-11,22023.0
Green,松江南京,2018-01-11,37508.5
Green,台北小巨蛋,2018-01-11,52442.0
Green,南京三民,2018-01-11,50290.0
Green,松山,2018-01-11,51743.0
Green,南京復興,2018-01-11,40712.0
Green,小碧潭,2018-01-12,4986.0
Green,新店,2018-01-12,24798.0
Green,新店區公所,2018-01-12,24314.0
Green,七張,2018-01-12,36050.0
Green,大坪林,2018-01-12,35213.0
Green,景美,2018-01-12,37740.0
Green,萬隆,2018-01-12,20966.0
Green,公館,2018-01-12,65642.0
Green,台電大樓,2018-01-12,42973.0
Green,古亭,2018-01-12,35230.0
Green,中正紀念堂,2018-01-12,27140.5
Green,小南門,2018-01-12,23167.0
Green,中山,2018-01-12,38243.5
Green,西門,2018-01-12,66220.5
Green,北門,2018-01-12,24010.0
Green,松江南京,2018-01-12,39630.0
Green,台北小巨蛋,2018-01-12,53909.0
Green,南京三民,2018-01-12,52224.0
Green,松山,2018-01-12,54571.0
Green,南京復興,2018-01-12,42943.5
Green,小碧潭,2018-01-13,4011.0
Green,新店,2018-01-13,21357.0
Green,新店區公所,2018-01-13,19088.0
Green,七張,2018-01-13,27971.0
Green,大坪林,2018-01-13,25625.5
Green,景美,2018-01-13,31069.0
Green,萬隆,2018-01-13,18247.0
Green,公館,2018-01-13,62069.0
Green,台電大樓,2018-01-13,38282.0
Green,古亭,2018-01-13,28035.5
