Date,Yellow,Red,Orange,Blue,Green,Brown,Total
2021-01-01,51158,746879,458035,898014,406819,243409,2804314
2021-01-02,54005,794244,501442,957611,456460,276512,3040274
2021-01-03,50030,763449,459898,853253,408465,253888,2788983
2021-01-04,82431,996142,780514,1173088,649654,479118,4160947
2021-01-05,83412,1011917,797626,1193194,670484,493074,4249707
2021-01-06,84573,1023518,809533,1218953,686932,501989,4325498
2021-01-07,85930,1004530,806724,1219876,683978,502001,4303039
2021-01-08,91302,1085898,836754,1323938,718474,518980,4575346
2021-01-09,61386,833890,579383,1049182,528975,302106,3354922
2021-01-10,53787,731886,482174,886034,423840,250264,2827985
2021-01-11,86004,984442,793914,1184153,659671,481906,4190090
2021-01-12,84380,1008033,797696,1203888,673375,487730,4255102
2021-01-13,84320,1031398,811121,1232495,692238,497213,4348785
2021-01-14,85360,1063439,809710,1243503,695938,505103,4403053
2021-01-15,90419,1166950,855044,1380655,754065,530502,4777635
2021-01-16,62754,901863,610856,1101752,555395,330986,3563606
2021-01-17,51162,707157,469830,884402,427454,249310,2789315
2021-01-18,80845,993792,755144,1187562,649211,466074,4132628
2021-01-19,81790,1022234,773496,1227607,681932,482940,4269999
2021-01-20,84117,1072755,805605,1285109,714961,503679,4466226
2021-01-21,80694,1015986,757108,1210102,669794,476290,4209974
2021-01-22,83488,1041865,775646,1289646,691905,485175,4367725
2021-01-23,56750,813250,568983,1015981,510366,306126,3271456
2021-01-24,50972,726948,478630,868732,439833,257764,2822879
2021-01-25,77944,961800,724901,1153848,632964,446966,3998423
2021-01-26,78700,980087,743458,1178337,654126,461114,4095822
2021-01-27,79003,970430,746784,1192883,657444,462941,4109485
2021-01-28,77941,958640,744280,1200120,655091,462062,4098134
2021-01-29,82626,1036677,774624,1307758,696454,484386,4382525
2021-01-30,57984,847194,578768,1045350,525726,320054,3375076
2021-01-31,49172,740098,478084,869810,431417,271022,2839603
2021-02-01,76115,963532,726820,1161734,646719,450868,4025788
2021-02-02,77687,966762,743186,1183107,663226,458916,4092884
2021-02-03,78935,1006842,757265,1219356,678945,472312,4213655
2021-02-04,79086,1028754,752984,1228998,678128,476144,4244094
2021-02-05,84114,1083392,781894,1334529,715266,496182,4495377
2021-02-06,55784,846382,568004,1055932,516737,315920,3358759
2021-02-07,46628,727386,466333,873193,431758,259552,2804850
2021-02-08,75290,966184,717596,1204145,640620,436174,4040009
2021-02-09,74009,946126,691996,1202646,616409,419017,3950203
2021-02-10,39650,573484,381050,735805,331900,204976,2266865
