Date,Yellow,Red,Orange,Blue,Green,Brown,Total
2018-01-01,8926,1025398,511328,1107236,475048,305686,3433622
2018-01-02,14208,1117400,762963,1234428,668167,490673,4287839
2018-01-03,14729,1113614,779808,1248591,680313,503303,4340358
2018-01-04,15196,1116640,782630,1254379,683177,506492,4358514
2018-01-05,16354,1218702,840096,1408994,749600,542479,4776225
2018-01-06,11140,967076,625592,1228804,589320,352496,3774428
2018-01-07,8441,779496,491523,994453,440382,272256,2986551
2018-01-08,15166,1063348,791320,1235122,670030,489243,4264229
2018-01-09,15317,1062448,805221,1239134,690122,500283,4312525
2018-01-10,15080,1098056,796960,1250864,691248,503056,4355264
2018-01-11,15448,1094733,795446,1263338,692832,503096,4364893
2018-01-12,16686,1196101,838219,1395968,749971,532678,4729623
2018-01-13,12152,1021154,646406,1230590,588852,362167,3861321
2018-01-14,9926,939214,531014,1020408,484656,300747,3285965
2018-01-15,15262,1061510,759605,1215125,657709,476820,4186031
2018-01-16,15209,1084194,772999,1217808,672956,487443,4250609
2018-01-17,15699,1082896,777422,1238195,675704,492234,4282150
2018-01-18,15530,1102186,782737,1254447,691140,496416,4342456
2018-01-19,16642,1212616,863511,1457900,779356,542329,4872354
2018-01-20,13238,1033112,649246,1239512,596928,356641,3888677
2018-01-21,9896,936876,544016,1046912,488482,300150,3326332
2018-01-22,15582,1060544,743798,1218415,654143,468666,4161148
2018-01-23,15495,1093592,758646,1242788,675684,483429,4269634
2018-01-24,15207,1093546,780496,1289048,698210,494398,4370905
2018-01-25,15282,1126081,774926,1304914,695758,490366,4407327
2018-01-26,16018,1253850,821604,1442550,739112,521134,4794268
2018-01-27,11789,1177490,677624,1342309,603825,398770,4211807
2018-01-28,10674,946896,550190,1080564,488154,301384,3377862
2018-01-29,14698,1082219,768606,1284584,681808,469514,4301429
2018-01-30,14970,1061064,781684,1295141,696212,487294,4336365
2018-01-31,15024,1069773,787198,1311255,703816,496652,4383718
2018-02-01,15946,1067679,781466,1330035,697837,493149,4386112
2018-02-02,15856,1134540,814544,1443501,743288,522350,4674079
2018-02-03,10896,900244,617373,1217482,564118,355366,3665479
2018-02-04,9176,792624,519878,1046122,483658,281258,3132716
2018-02-05,14704,1036942,776224,1300771,688736,475062,4292439
2018-02-06,14762,1115845,784256,1324114,723262,483543,4445782
2018-02-07,15298,1097398,793191,1341958,716810,494923,4459578
2018-02-08,15552,1150613,809981,1378747,734097,504716,4593706
2018-02-09,16063,1217736,844036,1499325,778686,541297,4897143
2018-02-10,11040,1019742,650962,1278305,648763,357505,3966317
2018-02-11,9010,912682,559483,1143194,559993,305196,3489558
2018-02-12,14256,1115138,772837,1364307,704835,485780,4457153
2018-02-13,14244,1095258,755252,1352988,688956,478694,4385392
2018-02-14,12495,1005881,671342,1256777,606274,419954,3972723
2018-02-15,5211,468264,284376,519081,230458,149044,1656434
2018-02-16,7458,874556,451164,903327,358889,239978,2835372
2018-02-17,7662,918812,444660,909430,382473,248149,2911186
2018-02-18,8832,1139474,499380,1073432,447628,320322,3489068
2018-02-19,9930,1083075,531616,1104198,480909,323995,3533723
2018-02-20,8976,925220,503894,1018076,442514,292493,3191173
2018-02-21,13648,1046741,727451,1226612,630417,455496,4100365
2018-02-22,14567,1062140,760320,1270294,666531,485705,4259557
2018-02-23,15512,1178959,807071,1385822,724305,517090,4628759
2018-02-24,11130,1086444,657831,1309826,643700,365436,4074367
2018-02-25,9509,908654,544590,1079054,517987,294424,3354218
2018-02-26,15037,1113257,787066,1267796,691710,492050,4366916
2018-02-27,15832,1197432,824819,1368136,752144,536598,4694961
2018-02-28,9082,869662,556567,1092499,530388,320051,3378249
2018-03-01,15053,1124636,792159,1277490,706362,501084,4416784
2018-03-02,15666,1201635,827937,1390028,764314,541202,4740782
2018-03-03,12064,1126983,712408,1391364,752905,384150,4379874
2018-03-04,9494,980735,568541,1086107,557990,320384,3523251
2018-03-05,14634,1072720,776122,1226842,671282,490810,4252410
2018-03-06,15314,1094754,795853,1237752,695239,505404,4344316
2018-03-07,15260,1120107,803454,1264270,705284,509524,4417899
2018-03-08,15960,1105104,818646,1294972,720302,515309,4470293
2018-03-09,16421,1236666,854274,1415638,774422,544696,4842117
2018-03-10,12427,1176836,707606,1294506,729321,403476,4324172
2018-03-11,10034,1044214,582720,1112471,611250,342066,3702755
2018-03-12,14796,1104031,780519,1232534,681566,489106,4302552
2018-03-13,15062,1123644,793496,1248746,697305,506987,4385240
2018-03-14,15268,1138195,799468,1276344,711204,512783,4453262
2018-03-15,15332,1131984,804348,1302784,710208,521390,4486046
2018-03-16,16301,1255800,849276,1458916,770047,553063,4903403
2018-03-17,11618,1163951,692868,1331988,664868,392982,4258275
2018-03-18,10148,1103479,586770,1145231,548734,344056,3738418
2018-03-19,14988,1139939,776713,1228532,670813,489191,4320176
2018-03-20,15136,1086551,794614,1240874,697019,503805,4337999
2018-03-21,15056,1121964,800388,1263346,703891,512546,4417191
2018-03-22,15428,1142995,801434,1269768,702121,511516,4443262
2018-03-23,16468,1259082,840960,1408613,766740,541583,4833446
2018-03-24,12448,1176228,682386,1274836,664777,408624,4219299
2018-03-25,9258,1019896,552198,1058974,526579,325708,3492613
2018-03-26,14788,1105376,769782,1225366,671208,484531,4271051
2018-03-27,15146,1115271,789638,1246614,693464,505152,4365285
2018-03-28,14968,1125292,791127,1266478,699980,512408,4410253
2018-03-29,14867,1130318,792294,1292730,698634,518952,4447795
2018-03-30,15364,1182116,807666,1356534,743042,533206,4637928
2018-03-31,13267,1150398,761339,1331086,729560,479598,4465248
2018-04-01,8778,955382,539107,1026626,515304,345771,3390968
2018-04-02,14452,1060482,734554,1216916,639275,474534,4140213
2018-04-03,15230,1134670,761506,1305362,672278,487551,4376597
2018-04-04,9142,950592,531116,1054259,501940,345232,3392281
2018-04-05,7683,906056,468265,919102,443879,296964,3041949
2018-04-06,8866,991150,521774,1073140,489118,301420,3385468
2018-04-07,9232,981904,553694,1097358,527812,314224,3484224
2018-04-08,9202,975884,522554,1000463,473402,305840,3287345
2018-04-09,14766,1050370,754882,1173520,642356,474384,4110278
2018-04-10,15215,1068894,774326,1200629,666230,493391,4218685
2018-04-11,15093,1083773,781226,1235626,674876,498656,4289250
2018-04-12,15370,1070148,780950,1249742,677495,497878,4291583
2018-04-13,16211,1197826,827948,1381934,744494,528069,4696482
2018-04-14,11708,1058504,653361,1232965,645261,371962,3973761
2018-04-15,9224,909430,538550,1026057,511837,309130,3304228
2018-04-16,14684,1058658,771835,1216985,665704,479574,4207440
2018-04-17,15396,1075334,794616,1261488,690642,508691,4346167
2018-04-18,15072,1103376,790200,1250793,689968,503654,4353063
2018-04-19,15197,1111396,788749,1256238,694305,502600,4368485
2018-04-20,15808,1218282,833994,1382265,756204,533366,4739919
2018-04-21,12176,1147100,678124,1274952,657470,396051,4165873
2018-04-22,9510,1012448,556788,1091324,528276,321146,3519492
2018-04-23,14544,1060654,762068,1204370,664075,478893,4184604
2018-04-24,14916,1058194,779439,1216339,677922,495462,4242272
2018-04-25,15080,1125556,793818,1274928,712004,511902,4433288
2018-04-26,15282,1139893,798048,1284906,715080,514158,4467367
2018-04-27,16218,1219064,832092,1417300,762919,545918,4793511
2018-04-28,12658,1109220,671617,1288180,665173,394908,4141756
2018-04-29,9878,992307,555229,1110447,539124,327125,3534110
2018-04-30,14358,1118627,774971,1269658,683094,483856,4344564
2018-05-01,11544,1003382,625164,1088653,552282,375992,3657017
2018-05-02,14726,1091405,779862,1230437,682095,499052,4297577
2018-05-03,15168,1103533,786707,1245208,690741,502950,4344307
2018-05-04,15834,1259422,836223,1393800,756344,536980,4798603
2018-05-05,11182,1155032,659916,1256698,620970,392530,4096328
2018-05-06,9822,986581,562504,1094556,513672,332200,3499335
2018-05-07,14729,1089606,769470,1220967,661574,484805,4241151
2018-05-08,15166,1069368,787926,1234190,687438,498492,4292580
2018-05-09,15012,1094212,792374,1259282,692445,507081,4360406
2018-05-10,15122,1111026,795324,1275214,702044,509682,4408412
2018-05-11,16354,1233218,834283,1422484,748074,543149,4797562
2018-05-12,11505,1020362,637704,1240388,600122,364171,3874252
2018-05-13,9048,913616,513607,1018408,481430,290521,3226630
2018-05-14,14618,1070530,758778,1200483,655412,477418,4177239
2018-05-15,14890,1070495,772364,1222100,672480,490174,4242503
2018-05-16,14891,1074368,774566,1234132,680326,493484,4271767
2018-05-17,15078,1088178,772951,1244868,683588,493659,4298322
2018-05-18,15708,1223916,830045,1426575,750610,536122,4782976
2018-05-19,11312,1099130,660568,1266992,628164,386343,4052509
2018-05-20,9648,980294,552866,1105498,539499,325763,3513568
2018-05-21,14413,1063726,752874,1212808,658940,476824,4179585
2018-05-22,14841,1075701,768478,1235501,674507,489922,4258950
2018-05-23,14667,1074178,771144,1231106,677429,492424,4260948
2018-05-24,15160,1111904,775240,1253325,690662,496519,4342810
2018-05-25,15840,1238664,819442,1407665,740759,528361,4750731
2018-05-26,13168,1201666,684304,1335358,655504,378168,4268168
2018-05-27,10502,999765,554617,1119265,532060,309176,3525385
2018-05-28,14444,1093873,755699,1225692,661130,475626,4226464
2018-05-29,14808,1066572,767412,1226905,673838,487672,4237207
2018-05-30,14832,1067380,772058,1243144,678625,492609,4268648
