line,station,date,people
Red,中正紀念堂,2020-01-01,27466.0
Red,台大醫院,2020-01-01,24590.0
Red,台北車站,2020-01-01,157398.5
Red,中山,2020-01-01,51008.5
Red,雙連,2020-01-01,34616.0
Red,民權西路,2020-01-01,21455.5
Red,圓山,2020-01-01,55407.0
Red,劍潭,2020-01-01,67797.0
Red,士林,2020-01-01,52971.0
Red,芝山,2020-01-01,36552.0
Red,明德,2020-01-01,15263.0
Red,石牌,2020-01-01,42085.0
Red,唭哩岸,2020-01-01,11235.0
Red,奇岩,2020-01-01,11363.0
Red,北投,2020-01-01,31710.0
Red,新北投,2020-01-01,18341.0
Red,復興崗,2020-01-01,5478.0
Red,忠義,2020-01-01,3453.0
Red,關渡,2020-01-01,16827.0
Red,竹圍,2020-01-01,15586.0
Red,紅樹林,2020-01-01,19687.0
Red,淡水,2020-01-01,84515.0
Red,象山,2020-01-01,26281.0
Red,台北101/世貿,2020-01-01,69405.0
Red,信義安和,2020-01-01,25946.0
Red,大安森林公園,2020-01-01,13858.0
Red,東門,2020-01-01,28440.0
Red,大安,2020-01-01,15632.5
Red,中正紀念堂,2020-01-02,38259.0
Red,台大醫院,2020-01-02,54535.0
Red,台北車站,2020-01-02,156958.5
Red,中山,2020-01-02,52371.0
Red,雙連,2020-01-02,50761.0
Red,民權西路,2020-01-02,32124.5
Red,圓山,2020-01-02,59132.0
Red,劍潭,2020-01-02,71818.0
Red,士林,2020-01-02,65600.0
Red,芝山,2020-01-02,49390.0
Red,明德,2020-01-02,27895.0
Red,石牌,2020-01-02,67286.0
Red,唭哩岸,2020-01-02,15030.0
Red,奇岩,2020-01-02,18555.0
Red,北投,2020-01-02,42143.0
Red,新北投,2020-01-02,16294.0
Red,復興崗,2020-01-02,7758.0
Red,忠義,2020-01-02,7407.0
Red,關渡,2020-01-02,29540.0
Red,竹圍,2020-01-02,20380.0
Red,紅樹林,2020-01-02,23424.0
Red,淡水,2020-01-02,80626.0
Red,象山,2020-01-02,33637.0
Red,台北101/世貿,2020-01-02,72788.0
Red,信義安和,2020-01-02,42574.0
Red,大安森林公園,2020-01-02,18040.0
Red,東門,2020-01-02,33335.0
Red,大安,2020-01-02,31799.5
Red,中正紀念堂,2020-01-03,40302.5
Red,台大醫院,2020-01-03,55424.0
Red,台北車站,2020-01-03,180537.0
Red,中山,2020-01-03,58021.0
Red,雙連,2020-01-03,55386.0
Red,民權西路,2020-01-03,33629.0
Red,圓山,2020-01-03,63052.0
Red,劍潭,2020-01-03,77066.0
Red,士林,2020-01-03,69666.0
Red,芝山,2020-01-03,54694.0
Red,明德,2020-01-03,29254.0
Red,石牌,2020-01-03,70828.0
Red,唭哩岸,2020-01-03,15544.0
Red,奇岩,2020-01-03,20167.0
Red,北投,2020-01-03,44876.0
Red,新北投,2020-01-03,16095.0
Red,復興崗,2020-01-03,7913.0
Red,忠義,2020-01-03,7683.0
Red,關渡,2020-01-03,30761.0
Red,竹圍,2020-01-03,21816.0
Red,紅樹林,2020-01-03,24561.0
Red,淡水,2020-01-03,83064.0
Red,象山,2020-01-03,34554.0
Red,台北101/世貿,2020-01-03,82400.0
Red,信義安和,2020-01-03,46000.0
Red,大安森林公園,2020-01-03,19303.0
Red,東門,2020-01-03,35564.5
Red,大安,2020-01-03,33498.0
Red,中正紀念堂,2020-01-04,33343.0
Red,台大醫院,2020-01-04,28598.0
Red,台北車站,2020-01-04,169598.0
Red,中山,2020-01-04,59248.5
Red,雙連,2020-01-04,46189.0
Red,民權西路,2020-01-04,27078.0
Red,圓山,2020-01-04,65385.0
Red,劍潭,2020-01-04,73969.0
Red,士林,2020-01-04,63080.0
Red,芝山,2020-01-04,45327.0
Red,明德,2020-01-04,22452.0
Red,石牌,2020-01-04,53348.0
Red,唭哩岸,2020-01-04,13847.0
Red,奇岩,2020-01-04,15380.0
Red,北投,2020-01-04,39462.0
Red,新北投,2020-01-04,18643.0
Red,復興崗,2020-01-04,6620.0
Red,忠義,2020-01-04,4045.0
Red,關渡,2020-01-04,20537.0
Red,竹圍,2020-01-04,19181.0
Red,紅樹林,2020-01-04,21441.0
Red,淡水,2020-01-04,84472.0
Red,象山,2020-01-04,27684.0
Red,台北101/世貿,2020-01-04,76789.0
Red,信義安和,2020-01-04,32624.0
Red,大安森林公園,2020-01-04,24082.0
Red,東門,2020-01-04,33160.0
Red,大安,2020-01-04,25195.0
Red,中正紀念堂,2020-01-05,28511.5
Red,台大醫院,2020-01-05,25214.0
Red,台北車站,2020-01-05,160956.5
Red,中山,2020-01-05,48773.5
Red,雙連,2020-01-05,34447.0
Red,民權西路,2020-01-05,23821.0
Red,圓山,2020-01-05,55060.0
Red,劍潭,2020-01-05,62127.0
Red,士林,2020-01-05,50532.0
Red,芝山,2020-01-05,41410.0
