line,station,date,people
Blue,台北車站,2024-01-01,128697
Blue,頂埔,2024-01-01,10711
Blue,永寧,2024-01-01,17410
Blue,土城,2024-01-01,10491
Blue,海山,2024-01-01,26932
Blue,亞東醫院,2024-01-01,22369
Blue,府中,2024-01-01,40111
Blue,板橋,2024-01-01,74758
Blue,新埔,2024-01-01,44525
Blue,江子翠,2024-01-01,32520
Blue,龍山寺,2024-01-01,58993
Blue,西門,2024-01-01,86651
Blue,善導寺,2024-01-01,17699
Blue,忠孝新生,2024-01-01,29385
Blue,忠孝敦化,2024-01-01,38655
Blue,國父紀念館,2024-01-01,26101
Blue,市政府,2024-01-01,88144
Blue,永春,2024-01-01,23785
Blue,後山埤,2024-01-01,25346
Blue,昆陽,2024-01-01,12806
Blue,南港,2024-01-01,36800
Blue,忠孝復興,2024-01-01,39987
Blue,南港展覽館,2024-01-01,26144
Blue,台北車站,2024-01-02,124983
Blue,頂埔,2024-01-02,19317
Blue,永寧,2024-01-02,26964
Blue,土城,2024-01-02,16920
Blue,海山,2024-01-02,45613
Blue,亞東醫院,2024-01-02,50936
Blue,府中,2024-01-02,54343
Blue,板橋,2024-01-02,76941
Blue,新埔,2024-01-02,77252
Blue,江子翠,2024-01-02,54438
Blue,龍山寺,2024-01-02,55311
Blue,西門,2024-01-02,72198
Blue,善導寺,2024-01-02,49730
Blue,忠孝新生,2024-01-02,39639
Blue,忠孝敦化,2024-01-02,63678
Blue,國父紀念館,2024-01-02,40401
Blue,市政府,2024-01-02,113552
Blue,永春,2024-01-02,40957
Blue,後山埤,2024-01-02,31973
Blue,昆陽,2024-01-02,27483
Blue,南港,2024-01-02,43108
Blue,忠孝復興,2024-01-02,49079
Blue,南港展覽館,2024-01-02,34002
Blue,台北車站,2024-01-03,120796
Blue,頂埔,2024-01-03,19231
Blue,永寧,2024-01-03,26339
Blue,土城,2024-01-03,16874
Blue,海山,2024-01-03,46435
Blue,亞東醫院,2024-01-03,51632
Blue,府中,2024-01-03,55090
Blue,板橋,2024-01-03,76364
Blue,新埔,2024-01-03,79164
Blue,江子翠,2024-01-03,55331
Blue,龍山寺,2024-01-03,54379
Blue,西門,2024-01-03,71630
Blue,善導寺,2024-01-03,52064
Blue,忠孝新生,2024-01-03,40829
Blue,忠孝敦化,2024-01-03,67279
Blue,國父紀念館,2024-01-03,42802
Blue,市政府,2024-01-03,115864
Blue,永春,2024-01-03,42111
Blue,後山埤,2024-01-03,32713
Blue,昆陽,2024-01-03,27920
Blue,南港,2024-01-03,42631
Blue,忠孝復興,2024-01-03,51178
Blue,南港展覽館,2024-01-03,35414
Blue,台北車站,2024-01-04,121478
Blue,頂埔,2024-01-04,19451
Blue,永寧,2024-01-04,27151
Blue,土城,2024-01-04,17082
Blue,海山,2024-01-04,46813
Blue,亞東醫院,2024-01-04,51602
Blue,府中,2024-01-04,56320
Blue,板橋,2024-01-04,77217
Blue,新埔,2024-01-04,79354
Blue,江子翠,2024-01-04,56288
Blue,龍山寺,2024-01-04,56308
Blue,西門,2024-01-04,73354
Blue,善導寺,2024-01-04,52266
Blue,忠孝新生,2024-01-04,41181
Blue,忠孝敦化,2024-01-04,68625
Blue,國父紀念館,2024-01-04,43375
Blue,市政府,2024-01-04,118316
Blue,永春,2024-01-04,43151
Blue,後山埤,2024-01-04,32919
Blue,昆陽,2024-01-04,29431
Blue,南港,2024-01-04,44089
Blue,忠孝復興,2024-01-04,52319
Blue,南港展覽館,2024-01-04,40041
Blue,台北車站,2024-01-05,142487
Blue,頂埔,2024-01-05,20886
Blue,永寧,2024-01-05,29725
Blue,土城,2024-01-05,18323
Blue,海山,2024-01-05,48935
Blue,亞東醫院,2024-01-05,52577
Blue,府中,2024-01-05,61732
Blue,板橋,2024-01-05,87291
Blue,新埔,2024-01-05,82926
Blue,江子翠,2024-01-05,58257
Blue,龍山寺,2024-01-05,60761
Blue,西門,2024-01-05,84957
Blue,善導寺,2024-01-05,53574
Blue,忠孝新生,2024-01-05,45739
Blue,忠孝敦化,2024-01-05,76318
Blue,國父紀念館,2024-01-05,48182
Blue,市政府,2024-01-05,131760
Blue,永春,2024-01-05,45883
Blue,後山埤,2024-01-05,35499
Blue,昆陽,2024-01-05,30155
Blue,南港,2024-01-05,50389
Blue,忠孝復興,2024-01-05,59068
Blue,南港展覽館,2024-01-05,38283
Blue,台北車站,2024-01-06,136600
Blue,頂埔,2024-01-06,12657
Blue,永寧,2024-01-06,21907
Blue,土城,2024-01-06,13579
Blue,海山,2024-01-06,35335
Blue,亞東醫院,2024-01-06,33458
Blue,府中,2024-01-06,54624
Blue,板橋,2024-01-06,74338
Blue,新埔,2024-01-06,60390
Blue,江子翠,2024-01-06,46175
Blue,龍山寺,2024-01-06,59373
Blue,西門,2024-01-06,90953
Blue,善導寺,2024-01-06,32731
Blue,忠孝新生,2024-01-06,41154
Blue,忠孝敦化,2024-01-06,64313
Blue,國父紀念館,2024-01-06,43740
Blue,市政府,2024-01-06,106531
Blue,永春,2024-01-06,32604
Blue,後山埤,2024-01-06,28781
Blue,昆陽,2024-01-06,16625
Blue,南港,2024-01-06,38544
Blue,忠孝復興,2024-01-06,56748
Blue,南港展覽館,2024-01-06,36463
Blue,台北車站,2024-01-07,119231
Blue,頂埔,2024-01-07,10858
Blue,永寧,2024-01-07,18043
Blue,土城,2024-01-07,10152
Blue,海山,2024-01-07,28173
Blue,亞東醫院,2024-01-07,24347
Blue,府中,2024-01-07,41980
Blue,板橋,2024-01-07,63818
Blue,新埔,2024-01-07,46582
Blue,江子翠,2024-01-07,35943
Blue,龍山寺,2024-01-07,48891
Blue,西門,2024-01-07,76221
Blue,善導寺,2024-01-07,25773
Blue,忠孝新生,2024-01-07,33787
Blue,忠孝敦化,2024-01-07,45055
Blue,國父紀念館,2024-01-07,30127
Blue,市政府,2024-01-07,83881
Blue,永春,2024-01-07,26112
Blue,後山埤,2024-01-07,22144
Blue,昆陽,2024-01-07,13562
Blue,南港,2024-01-07,31781
Blue,忠孝復興,2024-01-07,42253
Blue,南港展覽館,2024-01-07,18314
Blue,台北車站,2024-01-08,120712
Blue,頂埔,2024-01-08,19336
Blue,永寧,2024-01-08,27175
Blue,土城,2024-01-08,17476
Blue,海山,2024-01-08,45721
Blue,亞東醫院,2024-01-08,51044
Blue,府中,2024-01-08,54841
Blue,板橋,2024-01-08,75862
Blue,新埔,2024-01-08,77229
Blue,江子翠,2024-01-08,54155
Blue,龍山寺,2024-01-08,56688
Blue,西門,2024-01-08,71062
Blue,善導寺,2024-01-08,47381
Blue,忠孝新生,2024-01-08,39800
Blue,忠孝敦化,2024-01-08,63829
Blue,國父紀念館,2024-01-08,40507
Blue,市政府,2024-01-08,113200
Blue,永春,2024-01-08,40812
Blue,後山埤,2024-01-08,32271
Blue,昆陽,2024-01-08,28254
Blue,南港,2024-01-08,42314
Blue,忠孝復興,2024-01-08,48928
Blue,南港展覽館,2024-01-08,34371
Blue,台北車站,2024-01-09,119719
Blue,頂埔,2024-01-09,19673
Blue,永寧,2024-01-09,26627
Blue,土城,2024-01-09,17089
Blue,海山,2024-01-09,46454
Blue,亞東醫院,2024-01-09,52178
Blue,府中,2024-01-09,56429
Blue,板橋,2024-01-09,76699
Blue,新埔,2024-01-09,79168
Blue,江子翠,2024-01-09,55447
Blue,龍山寺,2024-01-09,55092
Blue,西門,2024-01-09,71665
Blue,善導寺,2024-01-09,50978
Blue,忠孝新生,2024-01-09,39898
Blue,忠孝敦化,2024-01-09,68247
Blue,國父紀念館,2024-01-09,42323
Blue,市政府,2024-01-09,116210
Blue,永春,2024-01-09,42679
Blue,後山埤,2024-01-09,32777
Blue,昆陽,2024-01-09,28428
Blue,南港,2024-01-09,43332
Blue,忠孝復興,2024-01-09,50737
Blue,南港展覽館,2024-01-09,35126
Blue,台北車站,2024-01-10,123600
Blue,頂埔,2024-01-10,20344
Blue,永寧,2024-01-10,26737
Blue,土城,2024-01-10,17505
Blue,海山,2024-01-10,46415
Blue,亞東醫院,2024-01-10,51877
Blue,府中,2024-01-10,56779
Blue,板橋,2024-01-10,78148
Blue,新埔,2024-01-10,79811
Blue,江子翠,2024-01-10,56549
Blue,龍山寺,2024-01-10,56716
Blue,西門,2024-01-10,74496
Blue,善導寺,2024-01-10,52093
Blue,忠孝新生,2024-01-10,41632
Blue,忠孝敦化,2024-01-10,70302
Blue,國父紀念館,2024-01-10,43816
Blue,市政府,2024-01-10,118695
Blue,永春,2024-01-10,43417
Blue,後山埤,2024-01-10,33077
Blue,昆陽,2024-01-10,28872
Blue,南港,2024-01-10,44497
Blue,忠孝復興,2024-01-10,52611
Blue,南港展覽館,2024-01-10,36230
Blue,台北車站,2024-01-11,131507
Blue,頂埔,2024-01-11,20190
Blue,永寧,2024-01-11,28283
Blue,土城,2024-01-11,17557
Blue,海山,2024-01-11,47658
Blue,亞東醫院,2024-01-11,52830
Blue,府中,2024-01-11,58390
Blue,板橋,2024-01-11,80835
Blue,新埔,2024-01-11,81584
Blue,江子翠,2024-01-11,57351
Blue,龍山寺,2024-01-11,60644
Blue,西門,2024-01-11,78766
Blue,善導寺,2024-01-11,53587
Blue,忠孝新生,2024-01-11,42724
Blue,忠孝敦化,2024-01-11,71375
Blue,國父紀念館,2024-01-11,44224
Blue,市政府,2024-01-11,122522
Blue,永春,2024-01-11,43836
Blue,後山埤,2024-01-11,34190
Blue,昆陽,2024-01-11,29707
Blue,南港,2024-01-11,47517
Blue,忠孝復興,2024-01-11,55306
Blue,南港展覽館,2024-01-11,38747
Blue,台北車站,2024-01-12,164406
Blue,頂埔,2024-01-12,22745
Blue,永寧,2024-01-12,32598
Blue,土城,2024-01-12,19721
Blue,海山,2024-01-12,52804
Blue,亞東醫院,2024-01-12,54680
Blue,府中,2024-01-12,67883
Blue,板橋,2024-01-12,123134
Blue,新埔,2024-01-12,87064
Blue,江子翠,2024-01-12,62286
Blue,龍山寺,2024-01-12,64224
Blue,西門,2024-01-12,91789
Blue,善導寺,2024-01-12,60855
Blue,忠孝新生,2024-01-12,48132
Blue,忠孝敦化,2024-01-12,78901
Blue,國父紀念館,2024-01-12,48821
Blue,市政府,2024-01-12,137897
Blue,永春,2024-01-12,47471
Blue,後山埤,2024-01-12,36636
Blue,昆陽,2024-01-12,31573
Blue,南港,2024-01-12,58877
Blue,忠孝復興,2024-01-12,60934
Blue,南港展覽館,2024-01-12,43561
Blue,台北車站,2024-01-13,129903
Blue,頂埔,2024-01-13,13230
Blue,永寧,2024-01-13,21254
Blue,土城,2024-01-13,13342
Blue,海山,2024-01-13,35540
Blue,亞東醫院,2024-01-13,31397
Blue,府中,2024-01-13,50175
Blue,板橋,2024-01-13,74484
Blue,新埔,2024-01-13,56788
Blue,江子翠,2024-01-13,42881
Blue,龍山寺,2024-01-13,55053
Blue,西門,2024-01-13,81332
Blue,善導寺,2024-01-13,40540
Blue,忠孝新生,2024-01-13,36896
Blue,忠孝敦化,2024-01-13,55151
Blue,國父紀念館,2024-01-13,32638
Blue,市政府,2024-01-13,97887
Blue,永春,2024-01-13,31147
Blue,後山埤,2024-01-13,28125
Blue,昆陽,2024-01-13,15951
Blue,南港,2024-01-13,37519
Blue,忠孝復興,2024-01-13,49838
Blue,南港展覽館,2024-01-13,22533
Blue,台北車站,2024-01-14,130236
Blue,頂埔,2024-01-14,11524
