line,station,date,people
Orange,古亭,2024-01-01,15333
Orange,頂溪,2024-01-01,44420
Orange,永安市場,2024-01-01,29981
Orange,景安,2024-01-01,24711
Orange,南勢角,2024-01-01,26167
Orange,民權西路,2024-01-01,8205
Orange,忠孝新生,2024-01-01,16459
Orange,松江南京,2024-01-01,14001
Orange,輔大,2024-01-01,9238
Orange,新莊,2024-01-01,11626
Orange,頭前庄,2024-01-01,4029
Orange,先嗇宮,2024-01-01,3606
Orange,三重,2024-01-01,11838
Orange,菜寮,2024-01-01,11169
Orange,台北橋,2024-01-01,15367
Orange,大橋頭站,2024-01-01,19038
Orange,中山國小,2024-01-01,20407
Orange,行天宮,2024-01-01,35026
Orange,東門,2024-01-01,14542
Orange,蘆洲,2024-01-01,15628
Orange,三民高中,2024-01-01,14166
Orange,徐匯中學,2024-01-01,15163
Orange,三和國中,2024-01-01,15214
Orange,三重國小,2024-01-01,15665
Orange,迴龍,2024-01-01,12168
Orange,丹鳳,2024-01-01,10762
Orange,古亭,2024-01-02,30937
Orange,頂溪,2024-01-02,67913
Orange,永安市場,2024-01-02,49657
Orange,景安,2024-01-02,44069
Orange,南勢角,2024-01-02,39629
Orange,民權西路,2024-01-02,18774
Orange,忠孝新生,2024-01-02,27915
Orange,松江南京,2024-01-02,42949
Orange,輔大,2024-01-02,16823
Orange,新莊,2024-01-02,21746
Orange,頭前庄,2024-01-02,7543
Orange,先嗇宮,2024-01-02,10188
Orange,三重,2024-01-02,15856
Orange,菜寮,2024-01-02,20663
Orange,台北橋,2024-01-02,19464
Orange,大橋頭站,2024-01-02,25885
Orange,中山國小,2024-01-02,35127
Orange,行天宮,2024-01-02,59007
Orange,東門,2024-01-02,23832
Orange,蘆洲,2024-01-02,29141
Orange,三民高中,2024-01-02,24560
Orange,徐匯中學,2024-01-02,24417
Orange,三和國中,2024-01-02,25018
Orange,三重國小,2024-01-02,23471
Orange,迴龍,2024-01-02,22890
Orange,丹鳳,2024-01-02,18530
Orange,古亭,2024-01-03,32430
Orange,頂溪,2024-01-03,69791
Orange,永安市場,2024-01-03,50449
Orange,景安,2024-01-03,45189
Orange,南勢角,2024-01-03,39776
Orange,民權西路,2024-01-03,19603
Orange,忠孝新生,2024-01-03,29913
Orange,松江南京,2024-01-03,44425
Orange,輔大,2024-01-03,17875
Orange,新莊,2024-01-03,22276
Orange,頭前庄,2024-01-03,7781
Orange,先嗇宮,2024-01-03,10640
Orange,三重,2024-01-03,16203
Orange,菜寮,2024-01-03,21273
Orange,台北橋,2024-01-03,20378
Orange,大橋頭站,2024-01-03,26452
Orange,中山國小,2024-01-03,36270
Orange,行天宮,2024-01-03,59919
Orange,東門,2024-01-03,24122
Orange,蘆洲,2024-01-03,29208
Orange,三民高中,2024-01-03,24706
Orange,徐匯中學,2024-01-03,25086
Orange,三和國中,2024-01-03,25847
Orange,三重國小,2024-01-03,24356
Orange,迴龍,2024-01-03,22725
Orange,丹鳳,2024-01-03,18911
Orange,古亭,2024-01-04,32239
Orange,頂溪,2024-01-04,70347
Orange,永安市場,2024-01-04,50755
Orange,景安,2024-01-04,45024
Orange,南勢角,2024-01-04,40290
Orange,民權西路,2024-01-04,20089
Orange,忠孝新生,2024-01-04,29279
Orange,松江南京,2024-01-04,44842
Orange,輔大,2024-01-04,17424
Orange,新莊,2024-01-04,22221
Orange,頭前庄,2024-01-04,7967
Orange,先嗇宮,2024-01-04,10487
Orange,三重,2024-01-04,16263
Orange,菜寮,2024-01-04,21083
Orange,台北橋,2024-01-04,20183
Orange,大橋頭站,2024-01-04,26741
Orange,中山國小,2024-01-04,36311
Orange,行天宮,2024-01-04,60720
Orange,東門,2024-01-04,24668
Orange,蘆洲,2024-01-04,29662
Orange,三民高中,2024-01-04,25199
Orange,徐匯中學,2024-01-04,24898
Orange,三和國中,2024-01-04,25872
Orange,三重國小,2024-01-04,24369
Orange,迴龍,2024-01-04,23453
Orange,丹鳳,2024-01-04,18816
Orange,古亭,2024-01-05,33517
Orange,頂溪,2024-01-05,73418
Orange,永安市場,2024-01-05,53119
Orange,景安,2024-01-05,47008
Orange,南勢角,2024-01-05,41459
Orange,民權西路,2024-01-05,20578
